Tanggal,Jumlah_Penjualan,Harga,Kategori_Produk
2024-04-01,50,100000,Electronics
2024-04-02,30,80000,Clothing
2024-04-03,40,120000,Electronics
2024-04-04,60,150000,Food
2024-04-05,45,90000,Electronics
2024-04-06,55,70000,Clothing
2024-04-07,48,110000,Food
2024-04-08,38,100000,Electronics
2024-04-09,42,85000,Clothing
2024-04-10,62,130000,Food
2024-04-11,52,95000,Electronics
2024-04-12,47,75000,Clothing
2024-04-13,33,105000,Food
2024-04-14,37,80000,Electronics
2024-04-15,58,115000,Clothing
2024-04-16,44,70000,Food
2024-04-17,51,125000,Electronics
2024-04-18,46,90000,Clothing
2024-04-19,39,110000,Food
2024-04-20,56,105000,Electronics
2024-04-21,36,80000,Clothing
2024-04-22,49,95000,Food
2024-04-23,41,100000,Electronics
2024-04-24,54,85000,Clothing
2024-04-25,43,120000,Food
2024-04-26,57,110000,Electronics
2024-04-27,35,75000,Clothing
